         11121497 function calls (11120919 primitive calls) in 267.471 seconds

   Ordered by: cumulative time
   List reduced from 648 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   12.423   12.423  267.471  267.471 /home/hapi/cs336/assignment1-basics/cs336_basics/bpe_increase.py:268(run_train_bpe_increase)
        1    0.000    0.000  242.878  242.878 /usr/lib/python3.12/concurrent/futures/_base.py:646(__exit__)
        1    0.000    0.000  242.878  242.878 /usr/lib/python3.12/concurrent/futures/process.py:864(shutdown)
      2/1    0.000    0.000  242.877  242.877 /usr/lib/python3.12/threading.py:1115(join)
      2/1    0.000    0.000  242.877  242.877 /usr/lib/python3.12/threading.py:1153(_wait_for_tstate_lock)
     41/4    0.000    0.000  242.873   60.718 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000  242.873  242.873 /usr/lib/python3.12/threading.py:1016(_bootstrap)
      2/1    0.000    0.000  242.873  242.873 /usr/lib/python3.12/threading.py:1056(_bootstrap_inner)
        1    0.000    0.000  242.873  242.873 /usr/lib/python3.12/concurrent/futures/process.py:340(run)
        1    0.000    0.000  242.873  242.873 /usr/lib/python3.12/concurrent/futures/process.py:574(join_executor_internals)
        1    0.000    0.000  242.873  242.873 /usr/lib/python3.12/concurrent/futures/process.py:578(_join_executor_internals)
        6    0.000    0.000  242.772   40.462 /usr/lib/python3.12/multiprocessing/util.py:208(__call__)
        1    0.000    0.000  242.772  242.772 /usr/lib/python3.12/multiprocessing/queues.py:147(join_thread)
        1    0.000    0.000  242.772  242.772 /usr/lib/python3.12/multiprocessing/queues.py:214(_finalize_join)
        5    0.001    0.000  242.772   48.554 /usr/lib/python3.12/concurrent/futures/process.py:415(wait_result_broken_or_wakeup)
       15    0.000    0.000  242.720   16.181 /usr/lib/python3.12/multiprocessing/connection.py:1122(wait)
       15    0.000    0.000  242.718   16.181 /usr/lib/python3.12/selectors.py:402(select)
       15  242.718   16.181  242.718   16.181 {method 'poll' of 'select.poll' objects}
     9743    3.011    0.000    7.470    0.001 /home/hapi/cs336/assignment1-basics/cs336_basics/bpe_increase.py:67(get_pair_counts_increase)
    19541    4.409    0.000    4.409    0.000 {built-in method builtins.max}
     9755    3.592    0.000    3.592    0.000 {method 'copy' of 'dict' objects}
  2594773    0.308    0.000    0.308    0.000 {method 'get' of 'dict' objects}
  2819688    0.296    0.000    0.296    0.000 {method 'add' of 'set' objects}
        1    0.137    0.137    0.203    0.203 /home/hapi/cs336/assignment1-basics/cs336_basics/bpe_increase.py:34(transfer_pretoken_counts)
2342634/2342582    0.115    0.000    0.115    0.000 {built-in method builtins.len}
  1650986    0.111    0.000    0.111    0.000 {method 'append' of 'list' objects}
  1351536    0.106    0.000    0.106    0.000 {method 'discard' of 'set' objects}
        4    0.000    0.000    0.100    0.025 /usr/lib/python3.12/multiprocessing/process.py:142(join)
       18    0.000    0.000    0.100    0.006 /usr/lib/python3.12/multiprocessing/popen_fork.py:24(poll)
        4    0.000    0.000    0.100    0.025 /usr/lib/python3.12/multiprocessing/popen_fork.py:36(wait)
       18    0.100    0.006    0.100    0.006 {built-in method posix.waitpid}
        1    0.026    0.026    0.055    0.055 /home/hapi/cs336/assignment1-basics/cs336_basics/bpe_increase.py:198(merge_dicts)
        4    0.009    0.002    0.050    0.012 /usr/lib/python3.12/multiprocessing/connection.py:246(recv)
        4    0.035    0.009    0.035    0.009 {built-in method _pickle.loads}
     30/4    0.000    0.000    0.021    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
     30/4    0.000    0.000    0.021    0.005 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     28/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
     21/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap_external>:989(exec_module)
   280997    0.020    0.000    0.020    0.000 {method 'pop' of 'list' objects}
     66/9    0.000    0.000    0.019    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)


